Brand,Serial,Model,Year,KM,Color,Price
Hyundai,i20,1.2 D-CVVT Jump,2012,111.000,Gri,55.000 TL
Renault,Fluence,1.5 dCi Icon,2016,116.000,Beyaz,115.000 TL
Renault,Clio,1.5 dCi SportTourer Joy,2017,125.844,Beyaz,86.900 TL
Opel,Astra,1.6 Edition,2015,92.550,Siyah,97.500 TL
Toyota,Corolla,1.4 D-4D Elegant,2011,123.000,Siyah,89.000 TL
Skoda,Superb,1.6 TDI Prestige,2016,100.525,Siyah,186.750 TL
Honda,Civic,2.0 Type-R,2008,50.355,Gümüş Gri,165.000 TL
Renault,R 19,1.6 Europa RTE Alize,2001,211.000,Gümüş Gri,28.500 TL
Volvo,V40,1.6 D R-Design,2014,89.999,Mavi,141.000 TL
Ford,Focus,1.5 TDCi Trend X,2016,169.000,Beyaz,119.500 TL
BMW,5 Serisi,520d M Sport,2011,155.000,Gümüş Gri,270.000 TL
Fiat,Egea,1.6 Multijet Easy,2018,66.550,Gümüş Gri,117.500 TL
Mitsubishi,Attrage,1.2 Intense Plus,2015,49.000,Beyaz,97.750 TL
Citroën,C3,1.2 PureTech Feel,2020,0,Beyaz,135.000 TL
Volkswagen,Passat,1.6 TDI BlueMotion Comfortline,2016,112.653,Gri,189.900 TL
Opel,Astra,1.4 T Edition Plus,2020,0,Beyaz,132.500 TL
Mercedes - Benz,E Serisi,E 180 Elite,2014,87.000,Lacivert,263.500 TL
Volkswagen,Polo,1.6 TDI Comfortline,2011,171,Beyaz,76.500 TL
BMW,5 Serisi,520i Premium,2015,91.000,Beyaz,289.000 TL
Volkswagen,Passat,1.4 TSI BlueMotion Trendline,2017,39.000,Beyaz,166.800 TL
Honda,Civic,1.6 VTEC ES,2003,260.000,Gümüş Gri,51.999 TL
Volkswagen,Jetta,1.4 TSI BlueMotion Comfortline,2016,52.000,Gri,144.850 TL
Volkswagen,Jetta,1.6 Midline,2009,253.000,Gümüş Gri,68.750 TL
Ford,Fiesta,1.5 TDCi Titanium,2013,120.000,Kahverengi,79.900 TL
Citroën,C4,1.6 e-HDi Confort,2012,163.800,Gri,83.250 TL
Peugeot,301,1.6 BlueHDI Active,2018,33.500,Beyaz,99.750 TL
